LinearAccel_X_err,LinearAccel_Y_err,LinearAccel_Z_err,AngularAccel_X_err,AngularAccel_Y_err,AngularAccel_Z_err
0.002653718,0.00822854,0.044062614,0.019415796,0.0024707168,0.0073037148
0.004756689,0.014639854,0.036377907,0.11160898,0.0037388206,0.09727526
0.0081266165,0.0020840168,0.029092789,0.0679121,0.0030348897,0.015392691
0.0017864704,0.0075035095,0.034297943,0.03368199,0.06824571,0.07508524
0.0034508705,0.010785341,0.043349266,0.023726344,0.076672584,0.09854336
0.0034271479,0.012583494,0.04798889,0.008245528,0.040381417,0.03291619
7.7962875e-05,0.0118255615,0.04689026,0.020942345,0.033921182,0.005600989
0.0015075207,0.008798838,0.031781197,0.024881244,0.02187723,0.095751286
0.0022767782,0.0028288364,6.580353e-05,0.10147953,0.07496792,0.06634951
0.0026255846,6.747246e-05,0.0039463043,0.044124603,0.055360336,0.14820057
0.0023185015,0.01184082,0.008423805,0.022456802,0.05990942,0.03338338
0.00015473366,0.020996332,0.04125309,0.046883345,0.07536733,0.021775074
0.0021699667,0.023671627,0.042072296,0.038112283,0.038864434,0.0032353103
0.002244711,0.02352953,0.03436184,0.017443419,0.02551052,0.031099677
0.0011731386,0.018737078,0.018612862,0.018642068,0.021197677,0.059425116
0.0029153824,0.0132911205,0.017666817,0.0675987,0.0124851465,0.021819144
0.001419425,0.0095191,0.03128338,0.04197097,0.0053904355,0.0025839508
0.0037119389,0.0033695698,0.03107071,0.033507347,0.0578655,0.03811942
0.0025926828,0.002673626,0.05159378,0.008373916,0.07196021,0.05706577
0.0034092665,0.00552392,0.057810783,0.018609226,0.10695207,0.045984596
0.00067949295,0.007982254,0.046920776,0.05520886,0.10858229,0.084073246
0.005931258,0.014608383,0.05889225,0.04144478,0.048917085,0.030405223
0.008177638,0.008330584,0.047009468,0.06531878,0.019253433,0.03717974
0.005259514,0.005799532,0.052440643,0.10654652,0.06987023,0.044255614
0.0039303303,0.004536867,0.0413208,0.08688879,0.0831292,0.01836273
0.0006753206,0.005303383,0.037075996,0.062059164,0.098131,0.0011142492
0.00062286854,0.0031228065,0.03163719,0.018328667,0.07970524,0.07671082
0.00085783005,0.005842209,0.048036575,0.05160737,0.11429566,0.03357184
0.003067255,0.008689165,0.056967735,0.071486115,0.107047915,0.01997447
0.003914237,0.0075280666,0.07557106,0.08040857,0.09933615,0.043167353
0.005102277,0.010826588,0.075941086,0.061900854,0.06507599,0.049017787
0.004226327,0.005591631,0.054380417,0.08273631,0.099565625,0.005318463
0.0054057837,0.0054067373,0.027720451,0.04908794,0.065025926,0.050572634
0.0044237375,0.007128358,0.007962227,0.06780765,0.08824992,0.07332632
0.0042665005,0.0046334267,0.009244919,0.079427004,0.08839989,0.01728253
0.01094234,0.010215998,0.043852806,0.074468136,0.06093502,0.018470585
0.018206596,0.00041401386,0.05778408,0.038168192,0.035752475,0.05308765
0.012682915,0.007727146,0.06652546,0.10896504,0.03169936,0.060746074
0.012111306,0.00088882446,0.07529831,0.026082516,0.028181076,0.024064302
0.010194063,0.0053915977,0.07008362,0.027991533,0.045568943,0.072671294
0.0056877136,0.0010266304,0.06903458,0.06595373,0.04821229,0.09347129
0.011802077,0.00029563904,0.05778122,0.046001434,0.04921794,0.0777607
0.0064282417,0.0027725697,0.060762405,0.16725278,0.037611723,0.04199882
0.014174342,0.0036467314,0.055987358,0.04082787,0.044234633,0.008997232
0.015062809,0.009605885,0.050419807,0.031710625,0.07198286,0.056398362
0.008299947,0.007261634,0.053718567,0.013447046,0.05781555,0.10254856
0.001339674,0.010549903,0.05126381,0.06356907,0.016552687,0.08934743
0.002989769,0.010824919,0.07073307,0.12147403,0.13378477,0.070849895
0.014636636,0.0026359558,0.0887661,0.14780113,0.18968958,0.2321884
0.00049352646,0.0004785061,0.078419685,0.09590113,0.07262683,0.08296137
0.0034204721,0.0029119253,0.07195091,0.00829649,0.058594108,0.0014331341
0.0028270483,0.0010912418,0.068862915,0.014591455,0.035883605,0.12618619
0.004731655,0.0024290085,0.063025475,0.015182495,0.040424556,0.10771203
0.01234436,0.018449783,0.059329987,0.042051792,0.055214882,0.055644274
0.0065072775,0.008446455,0.056287766,0.035547137,0.030948877,0.15293479
0.0059245825,0.014193535,0.0735178,0.026562095,0.057121754,0.06277704
0.0018043518,0.015119791,0.072891235,0.04458809,0.05434221,0.06069076
0.0014586449,0.015020132,0.06601238,0.04995513,0.045623064,0.08216846
0.0008275509,0.015372276,0.061912537,0.055641413,0.036586523,0.0646646
0.00014209747,0.012636185,0.05654812,0.10868621,0.09227097,0.049878
0.0076116323,0.010329008,0.051869392,0.027145624,0.01639682,0.060720056
0.0026961565,0.019407272,0.07088661,0.08630425,0.08877003,0.0005648732
0.0053304434,0.022566557,0.080311775,0.04497102,0.041864276,0.04396254
0.0069237947,0.025016546,0.09480095,0.049465284,0.053970158,0.0757398
0.00852859,0.024899006,0.09153366,0.037109375,0.0555982,0.04460919
0.0074757338,0.02132392,0.08762264,0.047263086,0.056518793,0.079467475
0.009508491,0.021439552,0.07792282,0.03360471,0.02493824,0.015029043
